年月,船型,价格,单位价格
2020-08-01,灵便型,34.0,1062.5
2020-08-01,巴拿马型,43.0,573.3333333333334
2020-09-01,巴拿马型,42.5,566.6666666666666
2020-09-01,灵便型,34.0,1062.5
2020-09-01,苏伊士型,56.0,350.0
2020-09-01,阿芙拉型,47.0,427.27272727272725
2020-09-01,VLCC,86.0,286.6666666666667
2020-10-01,阿芙拉型,46.0,418.1818181818182
2020-10-01,苏伊士型,56.0,350.0
2020-10-01,VLCC,85.0,283.3333333333333
2020-10-01,灵便型,34.0,1062.5
2020-10-01,巴拿马型,42.5,566.6666666666666
2020-11-01,巴拿马型,42.5,566.6666666666666
2020-11-01,灵便型,34.0,1062.5
2020-11-01,VLCC,85.0,283.3333333333333
2020-11-01,阿芙拉型,46.0,418.1818181818182
2020-11-01,苏伊士型,56.0,350.0
2020-12-01,阿芙拉型,46.5,422.72727272727275
2020-12-01,苏伊士型,56.0,350.0
2020-12-01,VLCC,85.5,285.0
2020-12-01,灵便型,34.0,1062.5
2020-12-01,巴拿马型,42.5,566.6666666666666
2021-01-01,灵便型,34.0,1062.5
2021-01-01,巴拿马型,42.5,566.6666666666666
2021-01-01,苏伊士型,57.5,359.375
2021-01-01,VLCC,88.0,293.3333333333333
2021-01-01,阿芙拉型,47.5,431.8181818181818
2021-02-01,阿芙拉型,48.0,436.3636363636364
2021-02-01,苏伊士型,59.0,368.75
2021-02-01,VLCC,89.5,298.3333333333333
2021-02-01,灵便型,34.25,1070.3125
2021-02-01,巴拿马型,43.0,573.3333333333334
2021-03-01,巴拿马型,43.25,576.6666666666666
2021-03-01,灵便型,34.75,1085.9375
2021-03-01,苏伊士型,60.5,378.125
2021-03-01,阿芙拉型,49.5,450.0
2021-03-01,VLCC,90.5,301.6666666666667
2021-04-01,阿芙拉型,50.5,459.09090909090907
2021-04-01,苏伊士型,62.0,387.5
2021-04-01,VLCC,93.0,310.0
2021-04-01,灵便型,35.5,1109.375
2021-04-01,巴拿马型,44.5,593.3333333333334
2021-05-01,巴拿马型,45.0,600.0
2021-05-01,灵便型,36.0,1125.0
2021-05-01,VLCC,95.0,316.6666666666667
2021-05-01,阿芙拉型,50.5,459.09090909090907
2021-05-01,苏伊士型,63.0,393.75
2021-06-01,阿芙拉型,51.0,463.6363636363636
2021-06-01,苏伊士型,65.0,406.25
2021-06-01,VLCC,97.5,325.0
2021-06-01,灵便型,36.25,1132.8125
2021-06-01,巴拿马型,45.5,606.6666666666666
2021-10-01,巴拿马型,50.75,676.6666666666666
2021-10-01,灵便型,40.5,1265.625
2021-10-01,苏伊士型,74.5,465.625
2021-10-01,阿芙拉型,59.0,536.3636363636364
2021-10-01,VLCC,108.0,360.0
2021-11-01,阿芙拉型,59.0,536.3636363636364
2021-11-01,苏伊士型,75.5,471.875
2021-11-01,VLCC,109.0,363.3333333333333
2021-11-01,灵便型,41.0,1281.25
2021-11-01,巴拿马型,51.0,680.0
2021-12-01,巴拿马型,51.0,680.0
2021-12-01,灵便型,41.0,1281.25
2021-12-01,苏伊士型,76.0,475.0
2021-12-01,阿芙拉型,59.0,536.3636363636364
2021-12-01,VLCC,112.0,373.3333333333333
2022-01-01,阿芙拉型,60.0,545.4545454545455
2022-01-01,苏伊士型,76.0,475.0
2022-01-01,VLCC,114.0,380.0
2022-01-01,灵便型,41.0,1281.25
2022-01-01,巴拿马型,51.0,680.0
2022-02-01,巴拿马型,51.0,680.0
2022-02-01,灵便型,41.0,1281.25
2022-02-01,VLCC,115.0,383.3333333333333
2022-02-01,阿芙拉型,60.0,545.4545454545455
2022-02-01,苏伊士型,77.0,481.25
2022-03-01,巴拿马型,51.0,680.0
2022-03-01,灵便型,41.0,1281.25
2022-03-01,VLCC,115.0,383.3333333333333
2022-03-01,苏伊士型,77.0,481.25
2022-03-01,阿芙拉型,60.0,545.4545454545455
2022-04-01,阿芙拉型,60.5,550.0
2022-04-01,苏伊士型,78.0,487.5
2022-04-01,巴拿马型,51.5,686.6666666666666
2022-04-01,灵便型,41.5,1296.875
2022-04-01,VLCC,116.0,386.6666666666667
2022-05-01,巴拿马型,53.0,706.6666666666666
2022-05-01,灵便型,42.0,1312.5
2022-05-01,VLCC,117.0,390.0
2022-05-01,苏伊士型,79.0,493.75
2022-05-01,阿芙拉型,61.5,559.0909090909091
2022-06-01,阿芙拉型,61.5,559.0909090909091
2022-06-01,苏伊士型,79.5,496.875
2022-06-01,VLCC,117.5,391.6666666666667
2022-06-01,巴拿马型,53.0,706.6666666666666
2022-06-01,灵便型,42.5,1328.125
2022-07-01,巴拿马型,53.5,713.3333333333334
2022-07-01,灵便型,43.5,1359.375
2022-07-01,VLCC,119.0,396.6666666666667
2022-07-01,苏伊士型,79.5,496.875
2022-07-01,阿芙拉型,61.5,559.0909090909091
2022-08-01,阿芙拉型,61.5,559.0909090909091
2022-08-01,苏伊士型,80.0,500.0
2022-08-01,巴拿马型,53.5,713.3333333333334
2022-08-01,灵便型,43.5,1359.375
2022-08-01,VLCC,120.0,400.0
2022-09-01,阿芙拉型,61.5,559.0909090909091
2022-09-01,苏伊士型,80.0,500.0
2022-09-01,VLCC,120.0,400.0
2022-09-01,灵便型,43.0,1343.75
2022-09-01,巴拿马型,53.5,713.3333333333334
2022-10-01,巴拿马型,54.0,720.0
2022-10-01,灵便型,43.5,1359.375
2022-10-01,苏伊士型,80.0,500.0
2022-10-01,阿芙拉型,61.5,559.0909090909091
2022-10-01,VLCC,120.0,400.0
2022-11-01,阿芙拉型,61.5,559.0909090909091
2022-11-01,苏伊士型,80.0,500.0
2022-11-01,VLCC,120.0,400.0
2022-11-01,灵便型,43.5,1359.375
2022-11-01,巴拿马型,54.0,720.0
2022-12-01,巴拿马型,54.0,720.0
2022-12-01,灵便型,43.5,1359.375
2022-12-01,阿芙拉型,62.0,563.6363636363636
2022-12-01,苏伊士型,80.0,500.0
2022-12-01,VLCC,120.0,400.0
2023-01-01,阿芙拉型,62.5,568.1818181818181
2023-01-01,苏伊士型,80.5,503.125
2023-01-01,VLCC,120.0,400.0
2023-01-01,灵便型,43.75,1367.1875
2023-01-01,巴拿马型,54.0,720.0
