年月,船型,船龄,折旧率
2018-06-01,阿芙拉型,5,0.3191
2018-06-01,阿芙拉型,10,0.5745
2018-06-01,阿芙拉型,15,0.7660
2018-07-01,阿芙拉型,5,0.3263
2018-07-01,阿芙拉型,10,0.5789
2018-07-01,阿芙拉型,15,0.7684
2018-07-01,苏伊士型,5,0.2627
2018-07-01,苏伊士型,10,0.5424
2018-07-01,苏伊士型,15,0.7458
2018-07-01,VLCC,5,0.2849
2018-07-01,VLCC,10,0.5531
2018-07-01,VLCC,15,0.7207
2018-07-01,巴拿马型,5,0.3103
2018-07-01,巴拿马型,10,0.5862
2018-07-01,巴拿马型,15,0.7586
2018-08-01,巴拿马型,5,0.3143
2018-08-01,巴拿马型,10,0.6114
2018-08-01,巴拿马型,15,0.7714
2018-08-01,VLCC,5,0.2889
2018-08-01,VLCC,10,0.5500
2018-08-01,VLCC,15,0.7222
2018-08-01,阿芙拉型,5,0.3298
2018-08-01,阿芙拉型,10,0.5812
2018-08-01,阿芙拉型,15,0.7696
2018-08-01,苏伊士型,5,0.2667
2018-08-01,苏伊士型,10,0.5500
2018-08-01,苏伊士型,15,0.7500
2018-09-01,阿芙拉型,5,0.3333
2018-09-01,阿芙拉型,10,0.5833
2018-09-01,阿芙拉型,15,0.7708
2018-09-01,苏伊士型,5,0.2583
2018-09-01,苏伊士型,10,0.5500
2018-09-01,苏伊士型,15,0.7583
2018-09-01,VLCC,5,0.2857
2018-09-01,VLCC,10,0.5549
2018-09-01,VLCC,15,0.7253
2018-09-01,巴拿马型,5,0.3182
2018-09-01,巴拿马型,10,0.6364
2018-09-01,巴拿马型,15,0.7727
2018-10-01,巴拿马型,5,0.3409
2018-10-01,巴拿马型,10,0.6591
2018-10-01,巴拿马型,15,0.7727
2018-10-01,阿芙拉型,5,0.3542
2018-10-01,阿芙拉型,10,0.5938
2018-10-01,阿芙拉型,15,0.7708
2018-10-01,苏伊士型,5,0.2645
2018-10-01,苏伊士型,10,0.5537
2018-10-01,苏伊士型,15,0.7603
2018-10-01,VLCC,5,0.2973
2018-10-01,VLCC,10,0.5622
2018-10-01,VLCC,15,0.7297
2018-11-01,阿芙拉型,5,0.3333
2018-11-01,阿芙拉型,10,0.5625
2018-11-01,阿芙拉型,15,0.7396
2018-11-01,苏伊士型,5,0.2645
2018-11-01,苏伊士型,10,0.5537
2018-11-01,苏伊士型,15,0.7521
2018-11-01,VLCC,5,0.2865
2018-11-01,VLCC,10,0.5351
2018-11-01,VLCC,15,0.6757
2018-11-01,巴拿马型,5,0.3182
2018-11-01,巴拿马型,10,0.6364
2018-11-01,巴拿马型,15,0.7727
