mmsi,msr,spc,sdr,port_dwell,port_interval,turn_nonport,san_port_dwell,san_of_port
533133106,0.091209,0.3813,0.137381,0.67883,0.8466,1.573124,2.3e-05,0.0
613511600,0.091261,0.4446,0.105515,0.085826,0.1205,3.379774,0.002567,0.029473
461000256,0.091512,0.4343,0.251232,0.146798,0.0827,1.721275,0.008829,0.059643
667001256,0.091632,0.4262,0.272022,0.070432,0.0625,2.311727,0.00074,0.010047
636019327,0.091824,0.5293,0.388791,0.049094,0.056,1.746496,0.00109,0.020305
219760000,0.091928,0.4827,0.17949,0.252763,0.1038,1.888799,3.2e-05,0.0
311027700,0.092014,0.5262,0.18257,0.107506,0.1187,2.667009,2.6e-05,0.0
273271320,0.092136,0.4193,0.178897,0.144823,0.1473,2.944386,6.5e-05,0.000274
413281000,0.092351,0.5357,0.181041,0.13382,0.2996,1.92502,3.2e-05,0.0
613009690,0.092543,0.4085,0.356941,0.037369,0.0054,1.221372,0.001765,0.044604
613442818,0.092674,0.9767,0.426918,0.0163,0.0,0.0,0.0163,0.0
563353000,0.093008,0.6383,0.280498,0.134117,0.0922,1.50613,3.8e-05,0.0
563215900,0.093194,0.379,0.082966,0.086914,0.0794,5.090905,2.3e-05,0.0
357044000,0.093303,0.2736,0.092648,0.686289,0.6781,1.243705,2.4e-05,0.0
667002520,0.09364,0.4968,0.14252,0.18228,0.1331,2.387457,4.4e-05,0.0
667002072,0.093778,0.5905,0.307963,0.103533,0.113,1.410758,0.000959,0.008968
636015349,0.094042,0.4093,0.252648,0.525651,0.543,1.194374,5.3e-05,0.0
667001949,0.094596,0.5513,0.315018,0.281437,0.6196,1.122059,0.000217,0.0
667002283,0.094735,0.3891,0.306058,0.059187,0.1095,1.376254,4.8e-05,0.0
574005510,0.095918,0.4929,0.161712,0.057001,0.1074,2.106361,0.011248,0.196786
613404110,0.096395,0.5288,0.053579,0.105995,0.2229,1.119157,0.005691,0.053067
419794000,0.09734,0.4232,0.541937,0.335683,0.8288,1.01272,4.9e-05,0.0
511101845,0.09788,0.4417,0.178486,0.058779,0.1375,2.387457,0.001243,0.02046
533133126,0.097886,0.3472,0.18967,0.652505,0.8682,2.875093,2.6e-05,0.0
613902604,0.097998,0.5169,0.191815,0.241407,0.122,1.84359,4.5e-05,0.0
650000125,0.098087,0.454,0.505758,0.075439,0.0536,1.395527,0.000908,0.01076
352005354,0.098319,0.464,0.178268,0.294504,0.1679,1.553772,0.001145,0.003794
613569715,0.098398,0.4182,0.172642,0.136378,0.0886,2.285522,0.000108,0.0
613327400,0.098685,0.6271,0.199586,0.117145,0.1881,0.593139,0.011512,0.097458
613667000,0.098746,0.3512,0.282925,0.045875,0.0523,1.560729,0.001041,0.021538
613321600,0.099899,0.4167,0.041985,0.138607,0.1309,1.101907,0.006741,0.048259
461000370,0.099906,0.6029,0.152782,0.093637,0.1719,1.077462,0.007021,0.07436
613471602,0.099926,0.5341,0.253073,0.190534,0.1036,0.750994,0.011178,0.058501
352005357,0.099926,0.4245,0.13301,0.111596,0.1717,3.687706,0.001409,0.012375
667002026,0.100068,0.5891,0.144131,0.092761,0.166,1.081371,0.002611,0.027788
419796000,0.10031,0.511,0.534514,0.341112,0.6381,1.560729,3.8e-05,0.0
538010229,0.101243,0.4144,0.194664,0.141535,0.6822,1.168137,3e-05,0.0
273250930,0.101419,0.5163,0.122332,0.076842,0.044,1.771495,3.6e-05,0.0
