mmsi,ship_name,country,gap_24h_ratio,non_anch_low_ratio,cog_high_vol_ratio,loitering_h_ratio,non_anch_low_max_dur_h,cog_very_high_vol_ratio,non_anch_low_events,age_risk,flag_score,msr,spc,sdr,port_dwell,port_interval,turn_nonport,san_port_dwell,san_of_port,company_count,logistic_score,logistic_score_std,logistic_score_ci95_lower,logistic_score_ci95_upper,prediction_credibility,anomaly_index,confidence_grade,sanction_sources,hit_ofac,quadrant
613271440,Cauveri,Cameroon,0.000196,0.257942,0.203504,0.257929,615.1,0.079788,49,2,3,0.088081,0.3892,0.258401,0.392239,0.094,0.785004,0.006479,0.016423,28.0,85.45,11.27,63.36,100.0,高可信,15.68,A,1,True,A_确认影子
273279360,Ekspander,Russia,0.000155,0.944302,0.053881,0.944354,1262.5,0.029652,20,2,1,0.055384,0.0974,0.846576,3.8e-05,0.0,0.0,3.8e-05,0.0,42.0,85.31,7.49,70.63,99.99,高可信,43.58,A,3,True,A_确认影子
613961020,Aqua Titan,Cameroon,8.6e-05,0.04621,0.035084,0.046185,91.5,0.013437,56,2,3,0.02792,0.3129,0.137047,0.099945,0.1452,1.037418,0.005911,0.058883,23.0,85.31,14.47,56.95,100.0,高可信,2.78,A,2,False,A_确认影子
667002022,Hu Po,Sierra Leone,0.000524,0.457858,0.130569,0.457873,830.2,0.062113,94,1,2,0.136193,0.6618,0.297645,0.153567,0.1718,2.239799,0.000101,0.0,39.0,85.28,9.0,67.64,100.0,高可信,23.23,B,2,False,A_确认影子
273273160,Persey,Russia,0.000211,0.053687,0.054337,0.053628,86.2,0.024454,62,1,1,0.046333,0.3517,0.049139,0.130366,0.0975,3.09406,6.9e-05,0.0,44.0,85.22,7.53,70.46,99.98,高可信,3.51,B,3,True,A_确认影子
314898000,Fenor,Barbados,0.000327,0.226348,0.121701,0.226329,67.9,0.066371,274,2,1,0.107241,0.4989,0.285512,0.104751,0.1559,3.086058,0.000139,0.000897,31.0,84.77,6.1,72.81,96.73,高可信,12.63,A,0,False,B_潜在影子
613004310,Breeze,Cameroon,0.000216,0.072441,0.039294,0.072403,54.9,0.018618,144,2,3,0.065187,0.3568,0.065456,0.078679,0.1541,1.174481,0.019705,0.25,9.0,84.7,15.22,54.87,100.0,高可信,4.05,A,2,False,A_确认影子
314001154,Yehope,Barbados,0.000274,0.469595,0.294417,0.469615,466.1,0.168093,169,2,1,0.11688,0.6956,0.399901,0.131971,0.1005,1.94063,0.000107,0.0,28.0,84.54,6.48,71.84,97.24,高可信,27.03,B,2,True,A_确认影子
273278070,Apeks,Russia,6.3e-05,0.949776,0.00555,0.949795,1323.0,0.002002,52,2,1,0.030539,0.3941,0.576218,0.009779,0.1192,1.869488,1.3e-05,0.0,37.0,84.45,5.83,73.02,95.88,高可信,42.85,B,1,True,A_确认影子
273264590,Kapitan Kostichev,Russia,0.001613,0.610507,0.171689,0.610619,232.3,0.078488,243,2,1,0.175397,0.5033,0.077487,0.000208,0.0,2.345514,0.000208,0.0,33.0,84.38,4.76,75.05,93.71,高可信,30.95,B,3,True,A_确认影子
