mmsi,msf,dsr,vrs,sbi,aii
629009452,45.2,0.0625,22.5,35.8,1.48
629009500,44.5,0.5052,55.7,35.9,0.41
613961020,44.3,0.5287,60.1,38.9,0.43
613445605,44.3,0.6471,60.0,25.7,0.94
636019833,43.9,0.1259,25.6,12.9,0.1
249078000,43.8,0.5833,22.1,14.0,0.2
538002662,43.7,0.3088,58.8,6.3,0.13
636015349,43.7,0.4298,36.5,11.5,0.83
419001990,42.8,0.5909,90.8,11.3,0.9
273277180,42.6,0.5625,47.8,39.1,0.38
511101914,42.5,0.6481,41.7,10.2,1.29
574006350,42.3,0.4355,67.9,10.6,0.35
314001132,42.0,0.3269,59.1,39.6,0.13
631010070,40.9,0.6957,31.3,14.4,0.76
419796000,40.2,0.1279,28.9,12.2,0.01
677100200,40.0,0.0923,36.7,0.6,0.06
352005852,39.5,0.5435,59.3,15.9,0.52
657983350,39.2,0.0,0.1,7.9,0.01
413975000,39.2,0.2133,71.9,11.4,0.25
351075000,39.2,0.1,74.7,17.7,0.16
667001287,38.2,0.5,49.3,5.2,0.38
273275260,38.0,0.5802,71.0,61.9,0.43
632001134,38.0,0.0682,38.5,10.7,0.7
306761000,38.0,0.0085,2.2,12.4,0.02
352002809,37.9,0.4634,59.3,7.5,0.22
613277601,37.5,0.4154,51.0,39.3,0.86
354306000,37.4,0.5732,43.9,9.2,0.42
650000125,37.3,0.1786,37.5,11.0,0.25
650000121,37.0,0.5172,107.4,19.7,0.49
632001124,36.8,0.2727,4.7,11.0,0.04
511102028,36.3,1.0,40.7,40.5,0.91
352004832,36.3,0.7692,46.3,8.4,0.47
